num_steps_config,imsize_config,style_weight_config,content_weight_config,avg_loop_time_s,std_loop_time_s,avg_fps,std_fps,avg_style_loss,avg_content_loss,num_frames_logged
10,256,1000000.0,1,0.377,0.097,2.49,0.57,1033.46,28.81,32
200,256,1000000.0,1,10.133,0.409,0.1,0.0,7.35,22.94,10
